0.505051 	-0.000415256 	-0.00873896 	1.17602e-21
0.515152 	-0.00147187 	-0.025063 	2.97892e-21
0.525253 	-0.00326273 	-0.0376409 	2.98752e-21
0.535354 	-0.00598904 	-0.0465291 	9.79617e-22
0.545455 	-0.0091907 	-0.0532348 	-1.02068e-21
0.555556 	-0.0127806 	-0.0580718 	-2.62082e-21
0.565657 	-0.0168224 	-0.0605548 	-2.62266e-21
0.575758 	-0.0211236 	-0.0615803 	-2.50388e-21
0.585859 	-0.0255905 	-0.0616505 	-2.35284e-21
0.59596 	-0.0302865 	-0.0602859 	-2.35917e-21
0.606061 	-0.0350748 	-0.0582391 	-3.01086e-21
0.616162 	-0.0399376 	-0.055643 	-4.1852e-21
0.626263 	-0.0448783 	-0.0522654 	-4.29277e-21
0.636364 	-0.0498312 	-0.0486963 	-3.82216e-21
0.646465 	-0.054801 	-0.0446682 	-1.40681e-21
0.656566 	-0.0597578 	-0.0404962 	-1.02321e-21
0.666667 	-0.0646961 	-0.0361212 	-3.50829e-21
0.676768 	-0.0695926 	-0.0316369 	-4.32741e-21
0.686869 	-0.0744571 	-0.0270693 	-3.87643e-21
0.69697 	-0.0792512 	-0.0224383 	-2.22128e-21
0.707071 	-0.0840073 	-0.0177729 	8.35787e-23
0.717172 	-0.088673 	-0.0130732 	-3.89257e-22
0.727273 	-0.0932917 	-0.00835562 	-2.31315e-21
0.737374 	-0.0978153 	-0.00361242 	-2.3062e-21
0.747475 	-0.102272 	0.00114877 	-9.42605e-22
0.757576 	-0.106649 	0.00593611 	4.39331e-22
0.767677 	-0.110923 	0.010757 	1.84273e-21
0.777778 	-0.115156 	0.0155963 	2.69457e-21
0.787879 	-0.119229 	0.0205063 	1.42516e-21
0.79798 	-0.123303 	0.0254164 	1.55748e-22
0.808081 	-0.127185 	0.0304353 	4.33696e-24
0.818182 	-0.131042 	0.035468 	-5.99599e-24
0.828283 	-0.134789 	0.0405742 	-1.12736e-23
0.838384 	-0.138417 	0.04576 	-1.1537e-23
0.848485 	-0.142045 	0.0509458 	-1.18004e-23
0.858586 	-0.145438 	0.056304 	-2.82993e-24
0.868687 	-0.148826 	0.0616659 	6.57007e-24
0.878788 	-0.152118 	0.0671003 	-7.19596e-22
0.888889 	-0.155257 	0.0726521 	-2.63912e-21
0.89899 	-0.158396 	0.0782039 	-4.55865e-21
0.909091 	-0.16136 	0.0838883 	-3.989e-21
0.919192 	-0.164244 	0.0896342 	-2.26685e-21
0.929293 	-0.167128 	0.09538 	-5.44701e-22
0.939394 	-0.169784 	0.101293 	1.24657e-21
0.949495 	-0.172409 	0.107228 	3.04632e-21
0.959596 	-0.175034 	0.113164 	4.84607e-21
0.969697 	-0.177408 	0.119272 	4.41951e-21
0.979798 	-0.179774 	0.125386 	3.929e-21
0.989899 	-0.18214 	0.131499 	3.4385e-21
1 	-0.184264 	0.137766 	4.37841e-21
